OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-11271 [DTC],2024-154N,2026-04-15T20:24:39.807936,15.69700709,0.00011847,53.1591,307.8688,62.7746,297.3393,0,U,60915,999,9434,7.043554e-06,2.64e-06,0.0
STARLINK-32371,2024-154P,2026-04-16T05:41:48.998688,15.30192323,0.00011636,53.1589,109.4354,85.2572,274.8562,0,U,60916,999,9208,6.0467032e-05,1.432e-05,0.0
STARLINK-32369,2024-154Q,2026-04-16T06:48:30.692448,15.30192623,0.00013046,53.1605,109.0196,82.5558,277.5591,0,U,60917,999,9209,-2.78898e-07,-3.67e-06,0.0
STARLINK-32317,2024-154R,2026-04-16T06:18:16.881696,15.30190398,0.0001316,53.1602,109.5969,86.7885,273.3267,0,U,60918,999,9208,-4.198692e-06,-4.83e-06,0.0
STARLINK-32367,2024-154S,2026-04-16T06:31:49.199808,15.30185373,0.00017131,53.1604,108.9459,81.1479,278.9715,0,U,60919,999,9209,-2.9248407e-05,-1.225e-05,0.0
STARLINK-32345,2024-154T,2026-04-16T06:19:48.007776,15.30187546,0.00011301,53.1598,109.601,91.6866,268.4264,0,U,60920,999,9209,3.685172e-06,-2.5e-06,0.0
STARLINK-32356,2024-154U,2026-04-16T07:02:11.031072,15.30187365,0.00010703,53.1593,109.0725,67.8447,292.2667,0,U,60921,999,9210,8.162454e-05,2.058e-05,0.0
STARLINK-32274,2024-154V,2026-04-16T04:18:24.800544,15.30186811,0.00011142,53.1592,109.7868,73.3621,286.7502,0,U,60922,999,9208,9.7046243e-05,2.515e-05,0.0
STARLINK-32373,2024-154W,2026-04-16T04:32:04.266528,15.30187433,0.00011678,53.1598,109.8441,93.2139,266.8996,0,U,60923,999,9208,2.0506034e-05,2.48e-06,0.0
STARLINK-11239 [DTC],2024-155A,2026-04-16T03:59:39.643584,15.69711398,7.794e-05,53.1592,156.866,74.9264,285.184,0,U,60924,999,9428,1.0563776e-05,6.92e-06,0.0
STARLINK-11245 [DTC],2024-155B,2026-04-16T06:41:50.372736,15.69706925,9.128e-05,53.1581,156.1411,88.8805,271.2318,0,U,60925,999,9430,6.074474e-06,1.48e-06,0.0
STARLINK-11244 [DTC],2024-155C,2026-04-16T03:24:20.211840,15.69711222,0.00010927,53.1591,156.7037,70.405,289.7086,0,U,60926,999,9433,3.552991e-06,-1.58e-06,0.0
STARLINK-11243 [DTC],2024-155D,2026-04-15T10:42:52.781472,15.69708787,0.00012646,53.1596,160.1891,70.5984,289.5171,0,U,60927,999,9417,1.1485159e-05,8.03e-06,0.0
STARLINK-11238 [DTC],2024-155E,2026-04-15T10:28:45.553440,15.69696305,0.00012666,53.1593,160.1239,71.3851,288.7305,0,U,60928,999,9422,3.0651376e-05,3.124e-05,0.0
STARLINK-11240 [DTC],2024-155F,2026-04-15T10:21:41.485824,15.69705796,9.444e-05,53.1593,160.0869,104.1701,255.9422,0,U,60929,999,9417,4.517594e-06,-4.1e-07,0.0
STARLINK-11251 [DTC],2024-155G,2026-04-15T20:56:24.745632,15.69710083,0.00013688,53.1599,157.8593,90.2973,269.8202,0,U,60930,999,9424,6.059339e-06,1.45e-06,0.0
STARLINK-11204 [DTC],2024-155H,2026-04-15T20:49:21.218016,15.69705966,0.00012184,53.16,157.8266,91.783,268.3328,0,U,60931,999,9424,7.43503e-07,-4.99e-06,0.0
